code,system
66YB.00,readv2
66YD.00,readv2
66YS.00,readv2
66YT.00,readv2
66YI.00,readv2
66YM.00,readv2
H36..00,readv2
H37..00,readv2
H38..00,readv2
H3z..11,readv2
5199G,oxmis
5199GE,oxmis
66YL.00,readv2
66YL.11,readv2
66YL.12,readv2
66Yd.00,readv2
8H2R.00,readv2
66Ye.00,readv2
66Yi.00,readv2
66Yf.00,readv2
H312200,readv2
66Yg.00,readv2
66Yh.00,readv2
H31..00,readv2
H310000,readv2
H311100,readv2
H312.00,readv2
H312000,readv2
H312011,readv2
H312300,readv2
H312z00,readv2
H31y100,readv2
H31z.00,readv2
491,oxmis
491 E,oxmis
H310.00,readv2
H310z00,readv2
H311.00,readv2
H311000,readv2
H311z00,readv2
H313.00,readv2
H312100,readv2
H32..00,readv2
H321.00,readv2
H322.00,readv2
H32y100,readv2
H32y200,readv2
H32z.00,readv2
492,oxmis
492 AC,oxmis
H31y.00,readv2
H31yz00,readv2
H32y.00,readv2
H32yz00,readv2
H3y..11,readv2
H320.00,readv2
H320000,readv2
H320100,readv2
H320200,readv2
H320300,readv2
H320z00,readv2
H32y000,readv2
H32y111,readv2
5199GL,oxmis
5199GP,oxmis